FECHA_CORTE;UUID;NIVEL_ACADEMICO;FACULTAD;PROGRAMA_ESTUDIOS;SITUACIÓN ALUMNO;MODALIDAD;SEDE;SEXO;ANNIO_EGRESO;SEMESTRE_EGRESO;PROMEDIO_FINAL;CREDITOS_ACUMULADOS;FECHA_EGRESO;ANNIO_MATRICULA1;ANNIO_SOLICITUD_TRAMITE;DETALLE_TIPO_ESTUDIO
20240624;a4472cccb67cccbf0615fa6e06f8399c;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;16.97;72;1/4/2022;2017;2022;REGULAR
20240624;cebf9a6085c0a133332232538ebc6479;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.07;72;6/25/2021;2017;2021;ITINERANTE
20240624;e70749cfdfa5dab905fbcfc8dae06482;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;16.49;72;6/15/2022;2017;2022;REGULAR
20240624;f91c4b77b7732e856914fad611b9892d;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;16.13;72;6/22/2022;2017;2022;REGULAR
20240624;92295c5bb26bb09e742399cf866b540b;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.07;72;11/15/2022;2017;2022;ITINERANTE
20240624;843b63e260cc09fe1f0df20da28096cd;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.39;72;11/24/2021;2017;2021;ITINERANTE
20240624;605122547e3ecd68d508bb79a572575f;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;18.04;72;3/17/2022;2017;2022;REGULAR
20240624;5f440a62236be9d3d5b005a542899fcb;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.4;72;3/4/2022;2017;2022;ITINERANTE
20240624;f599812a3f7570bdbea0c2c7c2cd2e60;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;13;72;6/16/2022;2017;2022;REGULAR
20240624;e3c1038dae20c3f14a3ef3f8ec59a4ca;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.26;72;12/17/2021;2017;2021;ITINERANTE
20240624;800e731de775c5380872de3a37a05c0a;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;18.14;72;11/12/2020;2017;2020;REGULAR
20240624;b5f2091bb7b637649beb798eafb504fd;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;16.94;72;4/26/2023;2017;2023;ITINERANTE
20240624;bc7b7bf708281fa0289d36c84b35d349;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.69;72;9/28/2021;2017;2021;ITINERANTE
20240624;b8fa12f020f4e7b4177b20e182d22052;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.51;72;5/24/2023;2017;2023;ITINERANTE
20240624;aa233a634b600dcde2e03fe542afd925;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.33;72;5/11/2023;2017;2023;ITINERANTE
20240624;8e98df338dc55dad249b424f495fc487;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.17;72;9/28/2021;2017;2021;ITINERANTE
20240624;10f4ac581e6d7e5c7ac7a46e7150643a;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.47;72;6/25/2021;2017;2021;ITINERANTE
20240624;f95f40deba2aa2cba80d3f5a316f526d;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.5;72;5/24/2023;2017;2023;ITINERANTE
20240624;7da499cc828be4b1224d9bbd7634164a;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.33;72;2/10/2022;2017;2022;ITINERANTE
20240624;6bbfb1f6a77db27cdb92f70ca672b99d;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;16.88;72;6/14/2022;2017;2022;ITINERANTE
20240624;d4bb25929999deb9811fa67956aa6881;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.21;72;9/28/2021;2017;2021;ITINERANTE
20240624;cb621d2a11937896c8f82b585cf009d0;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.18;72;9/28/2021;2017;2021;ITINERANTE
20240624;c862367e5b72f1003dd3d97220e7cf05;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.09;72;8/19/2022;2011;2022;REGULAR
20240624;e2b91067e0fca499f2cb9dcbfd579959;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.21;72;6/28/2022;2017;2022;ITINERANTE
20240624;d0145c22ca83280387bddfd0deda6722;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;16.96;72;12/17/2021;2017;2021;ITINERANTE
20240624;bb7688406ef17ba4f46ed410e751e6db;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;16.39;72;6/22/2022;2017;2022;REGULAR
20240624;4ff6c93d0a6625c405c6d22d46ada89a;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.01;72;4/9/2024;2017;2024;ITINERANTE
20240624;31905a85bf9692cae515b7030e5a2d79;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.17;72;8/20/2021;2017;2021;ITINERANTE
20240624;cdde1212e007bf1b3c69e84b77631993;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.86;72;6/8/2022;2017;2022;REGULAR
20240624;23127ba4e9c37b2a4bbe077ab527ab80;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.14;72;6/14/2023;2017;2023;ITINERANTE
20240624;c7ae672adca2047c1193a11a305bc643;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;16.82;72;8/2/2022;2017;2022;ITINERANTE
20240624;df01160dcdb42c67b7748d04747094a8;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.71;72;7/15/2021;2017;2021;REGULAR
20240624;fead1ed952fc85ba4413411b0ca4a62f;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.29;72;6/25/2021;2017;2021;ITINERANTE
20240624;4eabb373f485c33265ade4509b749b62;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.1;72;6/25/2021;2017;2021;ITINERANTE
20240624;9cef55d3cbc139738999658985de49b1;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;16.88;72;1/28/2022;2017;2022;ITINERANTE
20240624;d82aec18c9200ed5d296ccdd81d945b6;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;14.92;72;12/17/2020;2016;2020;SEMIPRESENCIAL
20240624;b49357011aabb94364e21696947c491e;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;M;2020;20201;17.13;72;9/28/2021;2017;2021;ITINERANTE
20240624;a661085d9e249834a94f84cb43e1fad8;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.28;72;8/16/2022;2017;2022;ITINERANTE
20240624;9d1ef1541290a758b526328dbf228e60;POSGRADO;ESCUELA DE POSGRADO WÁLTER PEÑALOZA RAMELLA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;EGRESADO;PRESENCIAL;LA MOLINA;F;2020;20201;17.11;72;7/27/2022;2017;2022;ITINERANTE
